rgn_id,year,value
1,2005,0.025562677765265107
1,2006,0.04938046112656594
1,2007,0.06679686750285328
1,2008,0.10512389554642142
1,2009,0.1421312941238284
1,2010,0.037953490018844606
1,2011,0.008052954124286771
1,2012,0.06854785522446037
1,2013,0.1623504559043795
1,2014,0.12938689915463328
1,2015,0.0586928109638393
1,2016,0.09578078384511174
2,2005,0.12495983699336649
2,2006,0.10688218954019249
2,2007,0.1867744483985007
2,2008,0.05342146786861122
2,2009,0.1030296016484499
2,2010,0.16258252863772216
2,2011,0.0823662791401148
2,2012,0.19453737703152002
2,2013,0.03767395946197212
2,2014,0.05123032545670867
2,2015,0.13882552906870843
2,2016,0.1281775573268533
3,2005,0.003289034962654114
3,2006,0.0786157795228064
3,2007,0.0404023121111095
3,2008,0.031062488118186595
3,2009,0.09534320021048188
3,2010,0.08943337346427144
3,2011,0.17744025019928814
3,2012,0.07819467447698117
3,2013,0.14675254379399122
3,2014,0.0775654589291662
3,2015,0.13644145159050822
3,2016,0.043220307445153594
4,2005,0.12679004706442357
4,2006,0.06846599108539522
4,2007,0.052961852075532084
4,2008,0.017923937831074
4,2009,0.0030411554034799337
4,2010,0.1873107652645558
4,2011,0.01708339056931436
4,2012,0.1328614474274218
4,2013,0.032523741200566295
4,2014,0.0834843457210809
4,2015,0.19316696398891509
4,2016,0.16887918026186527
5,2005,0.14701270144432785
5,2006,0.0677197423297912
5,2007,0.044586210837587716
5,2008,0.1508062181994319
5,2009,0.04519512257538736
5,2010,0.1345820846967399
5,2011,0.11609267834573984
5,2012,0.09232405512593687
5,2013,0.06365082818083466
5,2014,0.1550383495166898
5,2015,0.02352697113528848
5,2016,0.0012422413565218449
6,2005,0.15873578744940461
6,2006,0.11890231268480421
6,2007,0.10719204382039607
6,2008,0.0018989059142768385
6,2009,0.1820800363086164
6,2010,0.1179864336270839
6,2011,0.14466825514100493
6,2012,0.16437474400736393
6,2013,0.18982766298577192
6,2014,0.17821602351032198
6,2015,0.042717815330252054
6,2016,0.15944198104552926
7,2005,0.14873678851872682
7,2006,0.16023266590200366
7,2007,0.15473040230572224
7,2008,0.07701986897736789
7,2009,0.10037933201529087
7,2010,0.1375784190837294
7,2011,0.12761811031959952
7,2012,0.19140866161324085
7,2013,0.027279141824692488
7,2014,0.11652400167658926
7,2015,0.15892773889936507
7,2016,0.0990743350237608
8,2005,0.130741980439052
8,2006,0.11261251834221185
8,2007,0.04563065893016756
8,2008,0.06565029541961849
8,2009,0.051550234248861675
8,2010,0.05588986617513001
8,2011,0.09671534365043044
8,2012,0.1987127231899649
8,2013,0.07779518896713854
8,2014,0.14242896474897862
8,2015,0.1957166613545269
8,2016,0.1881464822217822
